song,text
"Justin Bieber_Someday At Christmas","learned men share equal hope hand love maybe world toy come care child dream start peace morning bomb away like ran time happy see warm tear shining fail fear war found today every someday heart land play new earth boy people free empty worth hungry moment playing december take really life kid christmas one prevail man"
"Justin Bieber_Slave To The Rhythm","door men cook could love knew set stop food tonight know cry verse fall way chain kitchen pride long ran time swore chorus work let dinner home still fear must rude quickly say late hour vain mind slave need stove dawn dance feel swallowed danced school appreciate rhythm nine fell asleep needed right served make back take night sheet kid life get break quit beat hard man"
"Westlife_How Does It Feel","die true wanted replace love showed could maybe sharing world know asking everything whoa best dream gon loving lover like someone real next time taken never granted na let u save see well sad praying baby found unknown painted much slowly dreaming fearing wanting lose hold wasting feeling appeal glory story people feel afraid pain lying tell give taking arm brings right cradled believe leave take make knowing life forever thing known might nothing one laying"
"Lady Gaga_Filthy Pop","shit fabulous choo sneaker filthy spin platinum trade real baby like jimmy work pop bout hello nerd got sound yes cause say play hilton sir new yeah speaker music radio dance retro vuitton till give huh expensive pink louis beat tights"
"Rihanna_Nobodys Business","said love ai world touch come gon affection nobody like baby persona time want na mine let home every direction sing always perfection point special wan lexus boy business amma give girl tell oooh please right infectious make life becomes get become one show"
"Linkin Park_Break","saying said ignorance room disappear could closer little everything way seems away like answer anymore le find every cause say wish shut bliss breathe sense need clear thought talking hear make word take edge go anyway thing break step nothing one"
"Linkin Park_Keys To The Kingdom","hit pace hand fist bring ai sell bass know everything though child shock verse mama fuck futility path pride bango hole shoot lame never flow let see kingdom fighting got war grow came bang fucking eye cause careful might method uh somehow name yelling different throw worth key control casualty tell give high mike take really least surprise final five get go resist nothing range still"
"Linkin Park_Easier To Run","replacing retrace shame wrong head would could picture past secret alone numb moving wound away blame like easier aside taken stand never simpler see change inside something every think face made sometimes looking much year wish ever remember run move kept darkness played misplaced washing forward pretending pain feel letting grave helplessness back memory take deep bringing go locked one show"
"Westlife_Pictures In My Head","gone head wanted picture love weekend best yet advance start single journey nobody way time na even chorus dying see home met looking got every made notice part always hold call yeah mind driving glance moment good give belief day memory tomorrow night thank life gon"
"Coldplay_God Put A Smile Upon Your Face","line gave wasted god wanted grace know fall ta nobody way draw time work mine ah honey smile got face say ever yeah put good give go guess style upon worse"
"Celine Dion_Dreaming Of You","bed phone playin sang gone game head true gave hope love ai car would tonight know though faith strength pick baby far even never u live home inside every yesterday heart without song vision radio played lyin thought may give right dreamin adore night hurt get carry one fallin hard"
"Coldplay_Ghost Story","saying emptier disappear coaster trying love maybe secret hears know become nobody appear close thorn time even puff something every whisper fear near walk smoke without anybody pull ever hold yeah raise point feeling rope clear rescue people roller rose thought hear wall ghost believe voice try go specter one"
"Justin Bieber_Christmas Is Dead","wrong admit perfect world set risk careless child cry illness causing order claus health mental parent time believing see pretend tear change year fake say truth understand dead sense another put putting free day santa deceit kid christmas around blame test"
"Celine Dion_Call The Man","door shadow gone room future bring love maybe world set unless wire star proud care plain dream cry fall close away hall shine light next time beyond mine chaos floor repair tear ah sweet confusion walk city across heart eye play heal shut remember filled call deal lonely yeah mend need clear empty ahead unclear wounded oh mmm woah needed back right broken upon step fight man"
"Justin Bieber_Omaha Mall","man doin maybe world sister bieber spend know star little hey done ball afar sbarro mallin spendin gap walkin ballin rock huge somethin far baby foodcourt never lid let mall chicken sick cash rollin omaha see find got sweet yes tall york none imma dollar ry cause say new foot yeah hold might benjamin shift attention compare hamiliton shoe look kenny borrow good yo la tell girl justin tryna burger lookin get go beat cap still"
"Rihanna_Never Ending","strange lost separate mirror slipped could wishing love knew come everything verse peril alive apart away drink time chorus never longer face drug pulling always understand hold feeling mend ending feel body unclear oh back connection try get soul"
"Eagles_My Man","wheel gone would could guy man knew talented touch living cry turn way remain like light traveled far flower beyond spinnin bloomed rollin see home inside got tryin made must wind came bad sing eye heart say laughing song truth old else fast tripped feel people pain called till tell hear nothin along hickory voice deep get go fight bound"
"Coldplay_Gravity","saw gravity running beating could stop smiling cry turn way waiting long baby time everyone see honey sound sun coming heart pull sky look thinking oh hear looked help"
"Justin Bieber_We Were Born For This","said love freedom world spreading know come sprite done meant way ta strength standing like sacrifice time stand choice mine unrecognized mixed got made yes outside say place left run stay easy need boy look double thinking people girl right back cup go dedicated waste cuz appreciation"
"Celine Dion_Goodbye's","gave last lady gone young love mother offered know come child cry saddest loving fall raging like greatest wing baby time whole lifetime flight live something every storm must weakness near someday mamma heart say goodbye ever hold guarantee always woman need offer strong give beacon hear needed darkest guide turned make shelter leave word hurt take life forever night complete broken break meet one promise"
"Eagles_Train Leaves Here This Morning","lost blind said wrong train would reason gone wrote sleeve wanted passed alone around know contract north morning way joker blame long signed etc baby time see well home exactly something leaf laughed ten cause place completely point ooo hanging lead address smoker difference look walking fact columbus getting tell right looked back make leave watched life may might"
"Linkin Park_Qwerty","line followed said saying lost disguise would could minute analyzing mistaken know debt crossed power wrapped seems way away like hole time whole never talk want faking confession cold home behind inside forsaken every yesterday today think made guessing came hollow climb swallow say fought place left remember drop mind fire another put plight swallowed victim thought follow control probably memory pay right take broken pill hide born might lie test hard soul"
"Rihanna_Hallucination","wrong witnessing hallucinating could perfect keep tonight delirious messing one ooh sens yeahh fool see deprived inside think fine must tricking pas place wake yeah mind need explanation empty perception thought taking shelter wae along hide guess hallucination known cuz lie illusion still"
"Rihanna_Te Amo","saw said told would hand love candelabra asking start pulled ta way away light waist cried na choice let watch amo think got awry uhh yes somebody eye underneath say without wish beach hold run scared move begging understand breathe lead need put dance afraid feel pain danced te mean tell hear leave take night voice around go gon water soul"
"Eagles_Try And Love Again","lost lady wrong would love know come ooh gon dancing done away like win fade time never want na let surround see well tear find found made sun sometimes friend slowly year eye circle lonely linger song loose lose might move stay feeling music need look moment borrow thought oh day memory right tomorrow take really try around go one fine"
"Coldplay_Things I Don't Understand","wrong hand love little everything plan turn remain decide infinite planned two light even fiction change live fate sand avoid tide truth always understand yeah sea slip dissolve people space control often day right night thing life dark becomes decides defeat meet nothing"
"Rihanna_We Found Love","door shadow love side come open hopeless turn alive way ta divide standing away light shine mine let cross got found place diamond feeling mind need feel deny take life go heartbeat yellow"
"Justin Bieber_Pick Me","kind love theatre whoa know best everything want happy sunset home watch think walk yeah legit look end forward dig finest girl cruise promise die would guy ya seeing goin favorite morning ta seen holding anything fan sad yes doll beach ever movie appreciate school woah day amazing laugh back take one eh could hand swag baby chillin got friend need make catchin wanted check eat stuff number rather pick flyer see every face part cause always feeling good class oh tell playing meet already man"
"Rihanna_Final Goodbye","die lay last would love belong lip secret world rest know come turn peace til respectful close long light wage held draw time never chorus since live listen war intently eye outside say goodbye always hold sky stay spell first thought till tell day eternal lyric leave forever life final known carry waited promise"
"Linkin Park_Hit The Floor","hit lie said concerned gone stepped line minute could hand realize stop keep know eggshell top courtesy wondering fall many ta waiting making single divide away like push long held next time stand shot want mine surely standoff never u well floor watch cross counting inside floating think got much walk tried heart say cause drop missed mind need put people afraid look putting feel till mean lied needed day make thing anyway upper around go protect trust one wait"
"Michael Jackson_Ghosts","bed door gave shake gone room family creak onto know intrusion hey stair ghostly blood chair ghoul nobody piece suckin hall baby shot sitting dog smell see floor floating coughin scare behind something found knife yawnin truth understand yeah doubt mind going rocking need put tree tell restless tappin wall ghost right back take arrow aaow hurt around upon nothing jealousy soul"
"Celine Dion_Adeste Fideles","god father appearing come jesus joyful bethlehem morning citizen highest behold triumphant choir let u happy flesh yea sing faithful angel christ greet glory lord thee oh word adore born king ye exhaltation"
"Linkin Park_Figure.09","gave em saying lost separate would realize knew stop happenin know come everything giving done wonder instead become started setting infinite ta attached away like shot never let escaped see hearing regret inside think fear every made sometimes found got part slowly without say hated ever always remember kept everyday put distract free name n pain space thought committing give letting back right memory word happening thing took get go nothing display"
"Justin Bieber_That Should Be Me","said wrong would trying hand guy love forget doin spreading little know giving replaced ooh gon used plan way making holding baby flower time disarm everybody never na let see buying sad think rumor made mistake kiss heart laughing cause harder hour feeling mind movie working need break shield pain till getting oh talking needed taking shoulda laugh believe funny gift go fight one"
"Coldplay_Songbird","kind love man little come yet dream whispered away wing like songbird far time na flew singing talk never see pilot yesterday ear came song place pas write mind spread talking give day especially anyone night thing felt gon better"
"Lady Gaga_New York","irresistable men sleep door shittin room beating lost wanted ooooooooo shit hah nightt come hey dream living pleasant morning ta recording drink like chrous sittin stayed chorus ring stand phone see ding handle got must york city straight livin new patron bore dance look oooooooo oh give girl please lure right dong dun hotel night club woke money get go step one"
"Michael Jackson_Price Of Fame","car mistaken know blue way away reaching want never price grab fast look shoe strong called taste turned took life fame complain cruise lie quiet still line startin disguise picture win village real time following thrill dotted fortune ever move wan name taking pay bleed take sign one envious week could autograph care living turn alive river ride someone baby bother well bad say excited boy feel pain recognize thing get father fine jealousy scene told joy boat setting like na stand feelin live aware behind every face cause survive always pressure thought cover magazine try wonderin"
"Rihanna_Stupid In Love","gave phone saw told act running cap would trying hand love insist ai maybe silly keep hm realize know lost one though blood katie like jerk holding chance whole time never size even let talk engine see dumb potential work u mm stupid something listen dunst made friend came ten cheating ever left new understand wan scheming repeatedly want thought oh um tell girl calling till right make telling idiot gone really thing life guess nickname waste go nothing lie na still"
"Justin Bieber_I Am Your Man","act saying guy man talented keep know start lalalala like stand smell see cupid stupid walk eye nerve always cat fat woman boy hate ugly girl pokin funny take really try get ha past"
"Westlife_Another World","endless somewhere cloud would could love maybe world altogether everything star come dream living fall safe away light like shine far save u let see imagined live find storm sound sun year summer chasing sky old yeah another different high take life certain"
"Eagles_In The City","somewhere catch ai know pretty fall neon grows light somethin beyond live pity horizon survival must much city faraway sky sight stay else another street oh nowhere day back wall night life born nothing one better"
"Justin Bieber_Favorite Girl","possession said lady wrong game known love ai knew rest little crazy best know star ya coolest ooh dream used number tale everything prettier many favorite way wished away like real baby impress time want never believing na let wooh live fairy breath isyou treat prized without say play ever ohh always write special wan going uh feel thinking matter oh girl promise make runner adore take get deserve one show"
"Taylor Swift_I Heart ?","phone said wrong could hand love fix realize walked black alone know everything wonder cry plan alive blue written way planned like overrated concentrated baby mess talk smell see home something think got every made came complicated someday heart wish remember yeah wake wait ask another put look bet sit thought oh fell back created right believe make night go took break alright beat fine still"
"Coldplay_Kingdom Come","door wheel heard head flood tongue hand would set keep hears know come done blood single way two someone time never let change tear kingdom inside year sing heart say hold wait drum understands going unlock fire need feel free drummer steal hear begin day laugh thing turning felt become one waited"
"Justin Bieber_Common Denominator","lie lost cot game would could love woo world side fraction whoa touch low sayin air fall half common aye denominator hatin light na chorus stand want compass fear every face jealous sun year kiss imma without heart say reply imagine hold understand yeah female wan put equation pain aching thousand woa oh give girl chase woah high playing back broken feed thing fill life hurt go one rise"
"Michael Jackson_Ready 2 Win","world gon nobody miracle win shoulder na ring save pop change youth tear versus behind smile war face seriously place left end ready happen make take money meet fame king championship better"
